files_scanned,92
files_with_treated,92
unique_treated_cities,92
"上饶",113
"昆明",113
"温",113
"阜阳",113
"六安",113
"佛山",113
"扬",113
"厦门",113
"三亚",113
"金华",113
"赣",113
"嘉兴",113
"上海",113
"广",113
"无锡",113
"绍兴",113
"杭",113
"保山",113
"长沙",113
"东莞",113
"淮南",113
"连云港",113
"郑",113
"洛阳",113
"商丘",113
"宿",113
"永",113
"滁",113
"蚌埠",113
"衢",113
"南阳",113
"重庆",113
"常德",113
"安庆",113
"泸",113
"普洱",113
"南京",113
"铜陵",113
"宁波",113
"安阳",113
"苏",113
"漯河",113
"南通",113
"株洲",113
"成都",113
"盐城",113
"湘潭",113
"淮安",113
"福",113
"徐",113
"开封",113
"南昌",113
"武汉",113
"丽水",113
"玉溪",113
"南宁",113
"襄阳",113
"常",113
"驻马店",113
"遂宁",113
"湖",113
"许昌",113
"太原",113
"威海",113
"牡丹江",113
"烟台",113
"潍坊",113
"青岛",113
"济宁",113
"临汾",113
"大庆",113
"唐山",113
"呼和浩特",113
"枣庄",113
"济南",113
"西安",113
"北京",113
"天津",113
"大同",113
"泰安",113
"兰",113
"长春",113
"阳泉",113
"沧",113
"哈尔滨",113
"银川",113
"淄博",113
"临沂",113
"乌鲁木齐",113
"日照",113
"大连",113
"德",113
